search;found_place;address;latitude;longitude;facility_label;Notes
TPA Kota Prabumulih Prabumulih;TPA &IPLT;H6WP+3RX, Jl. Prabumulih-Palembang, Sukajadi, Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan 31113;-3.404758;104.2010671;Tempat Pembuangan Sampah;
TPA Rama Agung Bengkulu Utara;TPA RAMA AGUNG;G5VG+V5P, Rama Agung, Kec. Arma Jaya, Kabupaten Bengkulu Utara, Bengkulu 38611;-3.4552776;102.17544;Kantor Urusan Lingkungan;
TPS Bungamas Seluma;Not Found;Not Found;-4.0635075;102.5917893;Not Found;
TPA Talang Sali Seluma;Not Found;Not Found;Not Found;Not Found;Not Found;
TPA Lebong;TPA Air Kopras;W5MW+G7F, Air Kopras, Kec. Pinang Belapis, Kabupaten Lebong, Bengkulu 39264;-3.0661919;102.1956669;Not Found;
TPA Lampung Utara;Uptd TPA Alam Kari;5RJP+58V, Kotabumi Udik, Kec. Kotabumi, Kabupaten Lampung Utara, Lampung 34511;-4.81952;104.5474203;Tempat Pembuangan Sampah;
TPA PANCA MULYA Tulang Bawang;TPA PANCA MULYA TULANG BAWANG LAMPUNG;M54W+Q93, Panca Mulia, Kec. Pagar Dewa, Kab. Tulang Bawang, Lampung 34682;-4.3431193;105.1959134;Kantor Pemerintah;
TPA Kalimiring Tanggamus;TPA KALI MIRING;GHXF+W8X, Unnamed Road, Kali Miring, Kec. Kota Agung Bar., Kabupaten Tanggamus, Lampung 35384;-5.4501307;104.5733598;Kantor Perusahaan;
Tempat Pengolahan Akhir (TPA) Sampah Rantau Jaya Udik Sukadana Lampung Timur;TPA Sampah Sukadana;WHW8+MPQ, Rantau Jaya Udik, Kec. Sukadana, Kabupaten Lampung Timur, Lampung;-5.0532848;105.5668471;Kantor Pemerintah;
TPA BLAMBANGAN UMPU Way Kanan;T P A;GG2M+85, Blambangan Umpu, Kec. Blambangan Umpu, Kabupaten Way Kanan, Lampung;-4.4991698;104.3887991;Jasa Pembuangan Sampah;
TPA GEDONG TATAAN Pesawaran;Not Found;Not Found;-5.398455;105.1250541;Not Found;
TPA Bumi Ayu Pringsewu;TPA BUMIAYU Pringsewu;MW5Q+C5J, Bumi Ayu, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35376;-5.3414245;104.9378869;Tempat Pembuangan Sampah;
TPA Balai Kencana Pesisir Barat;Not Found;Not Found;-5.2277314;103.9719128;Not Found;
TPA Bakung Bandar Lampung;TPA Bakung;Keteguhan, JL. R.E Marthamartadinata No.231, Kec. Tlk. Betung Bar., Kota Bandar Lampung, Lampung 35232;-5.4583245;105.2404189;Tempat Pembuangan Sampah;
TPA BELINYU Bangka;TPA Simpang Tiga;9QXM+4XV, jalan ke ptel. simpang tiga, Bukit Ketok, Belinyu, Kabupaten Bangka, Kepulauan Bangka Belitung 33253;-1.6021492;105.6407245;Tempat Pembuangan Sampah;
TPA KENANGA Bangka;TPA KENANGA SUNGAILIAT;337R+HW3, Jl. TPA, Merawang, Kec. Merawang, Kabupaten Bangka, Kepulauan Bangka Belitung 33211;-1.936105;106.0923083;Tempat Pembuangan Sampah;
TPA GUNUNG SADAI Belitung;TPA Gunung Sadai;6J5J+QW, Juru Seberang, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung;-2.7905627;107.6323284;Kantor Perusahaan;
TPA JUNJUNG BESAOH Bangka Selatan;Not Found;Not Found;-3.0192556;106.4803121;Not Found;
TPA Simpang Jongkong Kabupaten Bangka Tengah;TPA Jongkong Bangka Tengah;FC3G+GR, Simpang Perlang, Kec. Koba, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung;-2.5462464;106.4271092;Kantor Pemerintah;
TPA AIR BELO Bangka Barat;Not Found;Not Found;-2.0261585;105.2240845;Not Found;
TPA Trafo Mayang Belitung Timur;TPA Trafo Mayang;5743+CGP, Desa, Sukamandi, K ecamatan Damar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33514;-2.843911;108.2538418;Kantor Perusahaan;
TPA Sei Enam Bintan;TPA Sei Enam Kijang,;RHVM+GX4, Unnamed Road, Sungai Enam, Kec. Bintan Tim., Kabupaten Bintan, Kepulauan Riau 29151;0.8437596;104.5849668;Kantor Perusahaan;
TPA Sebayar Natuna;TPA SEBAYAR;W8Q5+WJ4, Unnamed Road, Sungai Ulu, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau 29783;3.9397574;108.3090799;Kantor Perusahaan;
TPST Rintis Kepulauan Anambas;Penampungan Sampah;XP4C+Q7, Mampok, Kec. Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau;2.9569019;105.4322619;Tempat Pembuangan Sampah;
TPA Ganet Tanjung Pinang;Not Found;Not Found;0.9361928;104.5290739;Not Found;
TPST Bantargebang Adm. Jakarta Utara;Kantor UPST Bantargebang;MX2V+4CR, RT.001/RW.005, Ciketing Udik, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17153;-6.3496393;106.9909479;Kantor Pemerintah;
TPST Bantargebang Adm. Jakarta Barat;Kantor UPST Bantargebang;MX2V+4CR, RT.001/RW.005, Ciketing Udik, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17153;-6.3496393;106.9909479;Kantor Pemerintah;
TPA Bantar Gebang Adm. Jakarta Selatan;Kantor UPST Bantargebang;MX2V+4CR, RT.001/RW.005, Ciketing Udik, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17153;-6.3496393;106.9909479;Kantor Pemerintah;
TPPAS Sarimukti Bandung;TPPAS Regional Sementara Sarimukti;58XX+PP7, Sarimukti, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554;-6.8007219;107.3493084;Tempat Pembuangan Sampah;
TPA Nangkaleah  Kabupaten Tasikmalaya Tasikmalaya;TPA Nangkaleah;J39P+GH5, Sukasukur, Kec. Mangunreja, Kabupaten Tasikmalaya, Jawa Barat 46462;-7.3812311;108.0864708;Kantor Perusahaan;
TPA CIMINYAK Ciamis;TPA Ciminyak kab. Ciamis;Dusun Jl. Ciminyak, Karyamulya, Kec. Cisaga, Kabupaten Ciamis, Jawa Barat 46386;-7.330647;108.5087304;Kantor Perusahaan;
TPA BANJARANYAR Ciamis;TPA Banjaranyar;GH5F+3C6, Jl. Cigayam, Banjaranyar, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;-7.4923256;108.5735241;Kantor Perusahaan;
TPAS Kubangdeleg Cirebon;TPAS Kubangdeleg;4M55+P3X, Kubangdeleg, Kec. Karangwareng, Kabupaten Cirebon, Jawa Barat;-6.8906277;108.6577259;Tempat Pembuangan Sampah;
TPA Gunungsantri Cirebon;TPAS GUNUNG SANTRI;7C56+8G4, Kepuh, Kec. Palimanan, Kabupaten Cirebon, Jawa Barat;-6.7417417;108.3933101;Tempat Pembuangan Sampah;
TPA HEULEUT Majalengka;TPA Kab Majalengka;657P+6JR, Heuleut, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452;-6.7868957;108.1820073;Tempat Pembuangan Sampah;
TPAS Cibeureum Sumedang;TPA Cibeureum Wetan, Kabupaten Sumedang;6X6F+WPH, Unnamed Road, Legok Kaler, Kec. Paseh, Kabupaten Sumedang, Jawa Barat 45381;-6.7876966;107.9653603;Jasa Pembuangan Sampah;
TPA Jalupang Subang;TPA Jalupang;FH2Q+QM8, Unnamed Road, Jalupang, Kec. Kalijati, Kabupaten Subang, Jawa Barat 41272;-6.548083;107.589204;Tempat Pembuangan Sampah;
TPA Cikolotok Purwakarta;TPA Cikolotok purwakarta;CFHX+W74, Margasari, Kec. Pasawahan, Kabupaten Purwakarta, Jawa Barat 41171;-6.5702467;107.4982116;Tempat Pembuangan Sampah;
TPA Jalupang Karawang;TPA Jalupang;JF9Q+892, Wancimekar, Kec. Kota Baru, Karawang, Jawa Barat 41374;-6.3817453;107.488396;Jasa Pembuangan Sampah;
TPA Burangkeng Bekasi;Not Found;Not Found;Not Found;Not Found;Not Found;
TPA Regional TPAS Sarimukti Bandung Barat;TPPAS Regional Sementara Sarimukti;58XX+PP7, Sarimukti, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554;-6.8007219;107.3493084;Tempat Pembuangan Sampah;
TPPAS Pangandaran Pangandaran;TPPAS Pangandaran;CMCQ+CP5, Bojongsari, Kec. Padaherang, Kab. Pangandaran, Jawa Barat 46384;-7.578984;108.6893511;Pemasok Peralatan Kantor;
TPPAS Regional Nambo Bogor;TPPAS NAMBO, BOGOR TIMUR;GW7P+946, Nambo, Kec. Klapanunggal, Kabupaten Bogor, Jawa Barat 16710;-6.486577;106.9307661;Tempat Pembuangan Sampah;
TPA Galuga Bogor;TPA GALUGA;CJMV+M79, Galuga, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630;-6.5658471;106.6432196;Tempat Pembuangan Sampah;
TPA Pasirbajing Bandung;TPA Pasir Bajing;VV4Q+63M, Kp Pasir Bajing, Sukaraja, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191;-7.1444;107.8876667;Layanan Kebersihan;
TPPAS Sarimukti Bandung;TPPAS Regional Sementara Sarimukti;58XX+PP7, Sarimukti, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554;-6.8007219;107.3493084;Tempat Pembuangan Sampah;
TPA Kopi Luhur Kota Cirebon Cirebon;UPT TPA Kopi Luhur Dinas LH;6GCW+34H, Argasunya, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45145;-6.7798186;108.5453577;Inspektur Tempat Tinggal;
TPA Sumur Batu Bekasi;TPA Sumur Batu;Jalan Pangkalan 2 Jalan Ciketing Udik No.10, RT.004/RW.002, Sumur Batu, Kec. Bantar Gebang, Kota Bks, Jawa Barat 17152;-6.3420066;107.0019988;Layanan Sanitasi;
TPA Ciangir Tasikmalaya;TPA Sampah Ciangir;J768+2WG, Tamansari, Kec. Tamansari, Kab. Tasikmalaya, Jawa Barat 46196;-7.3899418;108.2673213;Tempat Pembuangan Sampah;
TPA Cibeureum Banjar;TPA Cibeureum DLH Kota Banjar;JFMF+744, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313;-7.366859;108.4728255;Kantor Pemerintah;
TPA BLE Banyumas;TPA BLE Banyumas;G75H+GWM, Dusun I, Wlahar Wetan, Kec. Kalibagor, Kabupaten Banyumas, Jawa Tengah;-7.4911744;109.2797861;Tempat Pembuangan Sampah;
TPA Wonorejo Wonosobo;Tempat Pembuangan Akhir & Instalasi Pengolah Limbah Tinja;JV4V+2WX, Losari, Wonorejo, Kec. Selomerto, Kabupaten Wonosobo, Jawa Tengah 56361;-7.3948952;109.8948706;Tempat Pembuangan Sampah;
TPA KLEGEN Magelang;TPA Klegen;J863+3WV, Gg. Kiper, Kupen, Baleagung, Kec. Grabag, Kabupaten Magelang, Jawa Tengah 56196;-7.3897662;110.3047973;Tempat Pembuangan Sampah;
TPA WINONG Boyolali;TPA Winong Boyolali;FH8C+977, Jl. Magelang - Boyolali, Dusun III, Jelok, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57362;-7.5340771;110.5706737;Pemasok peralatan pembangkit listrik;
TPA MOJOREJO Sukoharjo;TPA SAMPAH MOJOREJO KAB. SUKOHARJO;8W24+4F8, Mojorejo, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57528;-7.6997052;110.9061887;Kantor Perusahaan;
TPA Sukoharjo Pati;TPA Sukoharjo;6XWQ+RMG, Unnamed Road, Sawah, Badegan, Kec. Margorejo, Kabupaten Pati, Jawa Tengah 59163;-6.7529406;110.9846894;Fasilitas Pengolahan Air Limbah;
TPA Karimunjawa Jepara;TPA Bandengan;Jl. Syaikh Khidhir Al-Limboriy, Rw. III, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59431;-6.5723037;110.5239861;Tempat Pembuangan Sampah;
TPA Krasak Jepara;TPA Bandengan;Jl. Syaikh Khidhir Al-Limboriy, Rw. III, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59431;-6.5723037;110.3797906;Tempat Pembuangan Sampah;
TPA Bandengan Jepara Jepara;TPA Bandengan;Jl. Syaikh Khidhir Al-Limboriy, Rw. III, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59431;-6.5723037;110.6681817;Tempat Pembuangan Sampah;
TPA BERAHAN KULON Demak;TPA BERAHAN KULON;6HQX+VGF, Jl. Babalan - Prawoto, Area Sawah, Berahan Wetan, Kec. Wedung, Kabupaten Demak, Jawa Tengah 59554;-6.7603091;110.5988053;Tempat Pembuangan Sampah;
Pengolahan Maggot TPA Blondo Semarang;TPA Blondo;QCFW+H8J, dusun, Merakrejo, Blondo, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661;-7.2260303;110.4412632;Tempat Pembuangan Sampah;
TPA Sanggrahan Temanggung;TPA Sanggrahan;M6FG+4RC, Unnamed Road, Area Hutan, Sanggrahan, Kec. Kranggan, Kabupaten Temanggung, Jawa Tengah 56271;-7.3271953;110.2270096;Tempat Pembuangan Sampah;
TPA DARUPONO BARU Kendal;TPA Sampah Darupono Baru;X787+WX8, Sawah, Darupono, Kec. Kaliwungu Sel., Kabupaten Kendal, Jawa Tengah 51372;-7.0327104;110.2649437;Tempat Pembuangan Sampah;
TPA Penujah Tegal;TPA Sampah;X5FJ+C98, Area Sawah/Kebun, Penujah, Kec. Kedungbanteng, Kabupaten Tegal, Jawa Tengah 52472;-7.0264736;109.1764336;Tempat Pembuangan Sampah;
TPA Kalijurang Brebes;TPA Kalijurang;QX9W+3X, Hutan, Kalijurang, Kec. Tonjong, Kabupaten Brebes, Jawa Tengah;-7.2323543;108.9973891;Kantor Pemerintah;
TPA Kaliwlingi Brebes;TPA Brebes;52GJ+VG7, Unnamed Road, Sawah, Kaliwlingi, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52219;-6.8228371;109.0312852;Tempat Pembuangan Sampah;
TPA BANYU URIP Magelang;agro wisata tpsa banyuurip;G6HV+6VP, Plumbon, Banyuurip, Kec. Tegalrejo, Kabupaten Magelang, Jawa Tengah 56192;-7.4719132;110.2447105;Taman;
TPA NGRONGGO Salatiga;Taman TPA Ngronggo Kota Salatiga;JFFP+777, Ngronggo, Kumpulrejo, Kec. Argomulyo, Kota Salatiga, Jawa Tengah 50734;-7.3768301;110.4856868;Tempat Pembuangan Sampah;
TPA Jatibarang Semarang;Not Found;Not Found;-7.0232126;110.3564858;Not Found;
TPA Banyuroto Kulon Progo;TPA Sampah Banyuroto;55WP+R3Q, Dlingo, Banyuroto, Kec. Nanggulan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55671;-7.8029133;110.1852379;Tempat Pembuangan Sampah;
TPST Piyungan Bantul;Not Found;Not Found;Not Found;Not Found;Not Found;
TPA Wukirsari Gunungkidul;Tempat Pembuangan Akhir Sampah Kabupaten Gunungkidul;2J68+PQ6, Wukirsari, Baleharjo, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851;-7.9882052;110.6168978;Tempat Pembuangan Sampah;
TPA Piyungan (Regional) Sleman;Tempat Pembuangan Sampah Terpadu (TPST) Piyungan;4CJH+2XV, Ngablak, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792;-7.8698784;110.4299324;Tempat Pembuangan Sampah;
TPST Piyungan (Regional) Yogyakarta;Tempat Pembuangan Sampah Terpadu (TPST) Piyungan;4CJH+2XV, Ngablak, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792;-7.8698784;110.4299324;Tempat Pembuangan Sampah;
TPA DADAPAN Pacitan;Tempat Pembuangan Akhir (TPA) Pacitan;Q36C+5WW, Sawahan, Dadapan, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552;-8.2395045;111.0700684;Tempat Pembuangan Sampah;
TPA Srabah Trenggalek;TPA Bendungan;XPR2+54W, Ampel Gading, Srabah, Kec. Bend., Kabupaten Trenggalek, Jawa Timur 66351;-8.0095212;111.7003322;Tempat Pembuangan Sampah;
TPA SEGAWE Tulungagung;TPA Segawe;XRPH+JRP, Suwaru, Segawe, Kec. Pagerwojo, Kabupaten Tulungagung, Jawa Timur 66262;-8.0134181;111.8295669;Tempat Pembuangan Sampah;
TPA LEMPENI Lumajang;TPA Lempeni Lumajang;Q584+963, Dusun Kali Pancung, Lempeni, Kec. Tempeh, Kabupaten Lumajang, Jawa Timur 67371;-8.2341192;113.1555459;Sekolah;0
TPA Tanggul Jember;TPA Tanggul;VF28+M7, Sumber Tenggulun, Manggisan, Kec. Tanggul, Kabupaten Jember, Jawa Timur;-8.1483065;113.4656543;Tempat Pembuangan Sampah;
TPA Kencong Jember;TPA Kencong;M9Q8+G89, Gumuk Banji, Kraton, Kec. Kencong, Kabupaten Jember, Jawa Timur 68167;-8.311217;113.3658623;Tempat Pembuangan Sampah;
TPA Ambulu Jember;TPA Pakusari - Jember;RQJ6+3GG, Krajan, Kertosari, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181;-8.1698027;113.6171279;Tempat Pembuangan Sampah;
TPA PAKUSARI Jember;TPA Pakusari - Jember;RQJ6+3GG, Krajan, Kertosari, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181;-8.1698027;113.7613235;Tempat Pembuangan Sampah;
TPA Blimbingsari Banyuwangi;TPA Sampah;Q85M+RP9, Dusun Krajan, Pendarungan, Kec. Kabat, Kabupaten Banyuwangi, Jawa Timur;-8.2404545;114.2622572;Tempat Pembuangan Sampah;
TPA Paguan Bondowoso;TPA Taman Krocok;4V7H+64V, Jemb. Gantung, Paguan, Kec. Taman Krocok, Kabupaten Bondowoso, Jawa Timur;-7.8868908;113.8777824;Tempat Pembuangan Sampah;
TPA Sliwung Situbondo;TPA Sliwung Situbondo;Sliwung, Kec. Panji, Kabupaten Situbondo, Jawa Timur 68323;-7.7364577;114.0225339;Tempat Pembuangan Sampah;
TPA Karangdiyeng Mojokerto;TPA KARANGDIYENG;FG33+733, Sumberingin, Karangdiyeng, Kec. Kutorejo, Kabupaten Mojokerto, Jawa Timur 61383;-7.5468622;112.5026597;Tempat Pembuangan Sampah;
TPA Banjardowo Jombang;TPA Banjardowo Gedangkeret;F56V+FQ6, Banjar Dowo, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419;-7.5388347;112.192139;Tempat Pembuangan Sampah;
TPA Pandantoyo Nganjuk;TPA PANDANTOYO;C3FQ+WJJ, Jl. Tol Ngawi – Kertosono, Jabon, Pandan Toyo, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64391;-7.5751505;112.0890249;Tempat Pembuangan Sampah;
TPA Bendil Nganjuk;Not Found;Not Found;-7.612574;111.7499096;Not Found;
TPA Kedungdowo Nganjuk;Not Found;Not Found;-7.5684043;111.9093285;Not Found;
TPA Kaliabu Madiun;TPA Kaliabu;CMM6+4P9, Jl. Melati, Area Sawah, Kaliabu, Kec. Mejayan, Kabupaten Madiun, Jawa Timur 63153;-7.5672151;111.6618459;Kantor Arsitek Interior;
TPA Milangasri Magetan;TPA Milangasri;98FP+936, Waru Kulon, Milangasri, Panekan, Kabupaten Magetan, Jawa Timur;-7.6265829;111.3261294;Kantor Pemerintah;
TPA Dadapan Kendal Ngawi;Tempat Pembuangan Sampah;F75Q+RF3, Dadapan, Sidorejo, Kec. Kendal, Kabupaten Ngawi, Jawa Timur 63261;-7.5404986;111.2706578;Tempat Pembuangan Sampah;
TPA Mantingan Ngawi;Not Found;Not Found;-7.400369;111.1427259;Not Found;
TPA Karangjati Ngawi;Not Found;Not Found;-7.4486926;111.5576654;Not Found;
TPA TAMBAKRIGADUNG Lamongan;TPA TAMBAKRIGADUNG KAB LAMONGAN;VC5H+P5C, Jl. Raya Jatirejo, Tuwiri, Tambakrigadung, Kec. Tikung, Kabupaten Lamongan, Jawa Timur 62281;-7.1406897;112.4278851;Tempat Pembuangan Sampah;
TPA Gunung Maddah Sampang;TPA Gunung Maddah Sampang;R726+965, Rw. II, Gn. Maddah, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216;-7.1991219;113.2605963;Tempat Pembuangan Sampah;
TPA Angsanah Pamekasan;TPA Angsanah Pamekasan;VFG3+CG7, Unnamed Road, Samatan Timur, Samatan, Proppo, Pamekasan Regency, East Java 69363;-7.1239593;113.4537953;Tempat Pembuangan Sampah;
TPA Batuan Sumenep;TPA Batuan Sumenep;XRV7+QG5, Tanonggol, Torbang, Kec. Batuan, Kabupaten Sumenep, Jawa Timur 69451;-7.0056162;113.8138476;Tempat Pembuangan Sampah;
TPA  KLOTOK KOTA KEDIRI Kediri;TPA 2 Klotok Pojok Kota Kediri;5XMF+3GW, Pojok, Kec. Mojoroto, Kota Kediri, Jawa Timur 64115;-7.8172729;111.9738284;Tambahkan nomor telepon tempat ini;
TPA NGEGONG Blitar;TPA Blitar;W55W+6XH, Jl. Teratai, Gedog, Kec. Sananwetan, Kota Blitar, Jawa Timur 66171;-8.0919337;112.1929827;Pusat Daur Ulang;
TPA SUPITURANG Malang;TPA Supit Urang;2H8H+W53, Pandan Selatan, Pandanlandung, Kec. Wagir, Kabupaten Malang, Jawa Timur 65158;-7.9827377;112.5756651;Tempat Pembuangan Sampah;
TPA Bestari Probolinggo;Tempat Pembuangan Akhir Sampah Kota Probolinggo;Jl. Anggrek No.2, Sukabumi, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67219;-7.7461469;113.1679071;Tempat Pembuangan Sampah;
TPA BLANDONGAN Pasuruan;TPA Blandongan;8WWQ+272, Jl. Jelakrejo, Tambak, Blandongan, Kec. Bugul Kidul, Kota Pasuruan, Jawa Timur 67128;-7.6549764;112.9381343;Tempat Pembuangan Sampah;
TPA Winongo Madiun;TPA Winongo Kota Madiun;9GP3+79G, West Ring road, Winongo, Manguharjo, Madiun City, East Java 63125;-7.6143226;111.5034386;Layanan Pengelolaan Limbah;
TPA Benowo Surabaya;TPA Benowo;QJJJ+2MF, Unnamed Road, Romokalisari, Kec. Benowo, Surabaya, Jawa Timur 60192;-7.2199298;112.6316696;Tempat Pembuangan Sampah;
BOJONG CANAR Pandeglang TPA;TPA Bojong Canar;HVVH+HQH, Unnamed Road, Karyautama, Kec. Cikedal, Kabupaten Pandeglang, Banten 42271;-6.4060605;105.8794817;Tempat Pembuangan Sampah;
BANGKONOL Pandeglang TPA;TPA Bangkonol Pandeglang;M4QM+M5R, Tegalongok, Kec. Koroncong, Kabupaten Pandeglang, Banten 42251;-6.3107731;106.1328777;Tempat Pembuangan Sampah;
TPA Cihara Lebak;TPA Cihara;53P9+5F, Pondokpanjang, Kec. Cihara, Kabupaten Lebak, Banten;-6.8145556;106.0687222;Balai masyarakat;
TPA Dengung Lebak;TPA Dengung Kabupaten Lebak;Parungsari, Kec. Sajira, Kabupaten Lebak, Banten 42381;-6.3875454;106.3161492;Layanan Pengelolaan Limbah;
TPA Bangkonol Serang;TPA Bangkonol Pandeglang;M4QM+M5R, Tegalongok, Kec. Koroncong, Kabupaten Pandeglang, Banten 42251;-6.3107731;106.1328777;Tempat Pembuangan Sampah;
TPA Rawa Kucing Tangerang;LIMBAH PLASTIK ATO;Gg. Kb. Jeruk, RT.004/RW.002, Kedaung Wetan, Kec. Neglasari, Kota Tangerang, Banten;-6.1396274;106.6170278;Gudang;
TPA Bagendung Cilegon;TPSA Bagendung;W2PF+PRR, Bagendung, Kec. Cilegon, Kota Cilegon, Banten 42419;-6.0631451;106.0245007;Tempat Pembuangan Sampah;
Cilowong Serang TPA;Not Found;Not Found;-6.1397575;106.0865633;Not Found;
TPA Pengelola Kawasan Pemukiman Swasta Tangerang Selatan;TPA Cipeucang;Jl. Kapling Nambo No.51, Serpong, Kec. Serpong, Kota Tangerang Selatan, Banten 15310;-6.3166404;106.7042271;Tempat Pembuangan Sampah;
TPST Cipeucang Tangerang Selatan;TPA Cipeucang;Jl. Kapling Nambo No.51, Serpong, Kec. Serpong, Kota Tangerang Selatan, Banten 15310;-6.3220734;106.6592003;Tempat Pembuangan Sampah;
TPST Peh Jembrana;TPST Jembrana;MHFM+8HV, Kaliakah, Kec. Negara, Kabupaten Jembrana, Bali 82218;-8.326635;114.5839072;Jasa Pembuangan Sampah;
TPA Peh Jembrana;TPST Jembrana;MHFM+8HV, Kaliakah, Kec. Negara, Kabupaten Jembrana, Bali 82218;-8.326635;114.5839072;Jasa Pembuangan Sampah;
TPA Sembung Gede Mandung Tabanan;TPA Mandung;F39V+QJC, Jl. Manik Galih, Sembung Gede, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161;Not Found;Not Found;Tempat Pembuangan Sampah;
TPA Regional Sarbagita Badung;TPA DESA KAPAL;Jl. Tambaksari No.27, Kapal, Kec. Mengwi, Kabupaten Badung, Bali 80351;-8.5798767;115.2675096;Tempat Pembuangan Sampah;
TPA Temesi Gianyar;TPA Temesi;C9Q2+Q2V, Temesi, Kec. Gianyar, Kabupaten Gianyar, Bali 80515;-8.5605001;115.3500442;Tempat Pembuangan Sampah;
TPA Jungutbatu Klungkung;TPA Sente;FF93+RQM, Dusun Sente, Pikat, Kec. Dawan, Kabupaten Klungkung, Bali 80761;-8.612099;115.4487865;Tempat Pembuangan Sampah;
TPA Sente Klungkung;TPA Sente;FF93+RQM, Dusun Sente, Pikat, Kec. Dawan, Kabupaten Klungkung, Bali 80761;-8.5304103;115.4544222;Tempat Pembuangan Sampah;
TPA Biaung Klungkung;Tpa biaung;8FCX+23R, Ped, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771;-8.679893;115.4976438;Pembangunan Perumahan;
TPA BANGLI Bangli;TPA BANGLI;J9W9+25W, Kayubihi, Kec. Bangli, Kabupaten Bangli, Bali 80614;-8.3548923;115.3679577;Kantor Perusahaan;
TPA BUTUS Karangasem;TPA Linggasana;HHW7+JPJ, Budakeling, Kec. Bebandem, Kabupaten Karangasem, Bali 80861;-8.4145266;115.5706282;Tempat Pembuangan Sampah;
TPA Bengkala Buleleng;Tpa bengkala;W55C+97R, Unnamed Road, Bengkala, Kec. Kubutambahan, Kabupaten Buleleng, Bali 81171;-8.0915212;115.1706292;Tempat Pembuangan Sampah;
TPA SARBAGITA SUWUNG Denpasar;TPA Suwung;Jl. TPA Suwung No.200, Sesetan, Denpasar Selatan, Kota Denpasar, Bali;-8.7193435;115.2205973;Tempat Pembuangan Sampah;
TPA Kebun Kongok Lombok Barat;TPA Regional Kebon Kongok;Kebon Kongok, Desa, Suka Makmur, Gerung, West Lombok Regency, West Nusa Tenggara 83361;-8.6470747;116.0921478;Tempat Pembuangan Sampah;
TPST SAMPAR JAJONG Sumbawa Barat;TPST Sampar Jajong;4Q5R+VW2, Benete, Kec. Maluk, Kabupaten Sumbawa Barat, Nusa Tenggara Bar.;-8.8903733;116.792265;Taman;
TPS Senayan Sumbawa Barat;Not Found;Not Found;Not Found;Not Found;Not Found;
TPA Batu Putih Sumbawa Barat;TPA Batu Putih;7RF6+92, Batu Putih, Kec. Taliwang, Kabupaten Sumbawa Barat, Nusa Tenggara Bar. 84455;-8.7265272;116.8100924;;
TPA Jugil Lombok Utara;TPA JUGIL;P6CR+RQ7, Unnamed Road, Sambik Bangkol, Kec. Gangga, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353;-8.2779545;116.2419066;Tempat Pembuangan Sampah;
TPA RIANGKOLI Flores Timur;Not Found;Not Found;-8.3112454;123.0286572;Not Found;
TPA KOTA BAJAWA Ngada;TPA Kota Bajawa;62X4+263, Naru, Kec. Bajawa Utara, Kabupaten Ngada, Nusa Tenggara Tim.;-8.7524927;121.0055404;Not Found;
